Released;Movie;Weekend;US Gross;Worldwide Gross;Budget;Type
09/30/2011;1;8644095;35016118;39216118;8000000;Real Events
03/31/1999;10 Things I Hate About You;8330681;38177966;NULL;13000000;Adapted
03/07/2008;10,000 B.C.;35867488;94784201;269065678;105000000;Original
11/22/2000;102 Dalmatians;19883351;66941559;NULL;85000000;Adapted
08/18/2006;10th & Wolf;20774;54702;NULL;8000000;Real Events
08/12/2005;11:14;NULL;NULL;NULL;6000000;Original
04/13/1957;12 Angry Men;NULL;NULL;NULL;340000;Original
03/27/2009;12 Rounds;5329240;12234694;18184083;20000000;Original
11/05/2010;127 Hours;264851;18335230;60735230;18000000;Real Events
10/26/2001;13 Ghosts;15165355;41867960;68467960;19000000;Original
04/23/2004;13 Going On 30;21054238;57139723;96439723;30000000;Original
06/22/2007;1408;20617667;71985628;131263370;22500000;Adapted
03/09/2001;15 Minutes;10523154;24375436;56331864;42000000;Original
03/03/2006;16 Blocks;11855260;36895141;65595141;45000000;Original
09/03/2010;16 to Life;2819;11574;NULL;1000000;Original
11/09/1972;1776;NULL;NULL;NULL;4000000;Adapted
12/14/1979;1941;2701898;34175000;94875000;32000000;Original
06/06/2003;2 Fast 2 Furious;50472480;127120058;236220058;76000000;Adapted
02/26/1999;20 Dates;40244;541636;602920;66000;Original
12/24/1916;20,000 Leagues Under the Sea;NULL;8000000;NULL;200000;Adapted
12/23/1954;20,000 Leagues Under the Sea;NULL;28200000;NULL;5000000;Adapted
02/26/1999;200 Cigarettes;3244277;6852450;NULL;6000000;Original
04/02/1968;2001: A Space Odyssey;NULL;56700000;68700000;10500000;Original
11/13/2009;2012;65237614;166112167;766812167;200000000;Original
08/05/2005;2046;113074;1442338;19202856;12000000;Original
03/28/2008;21;24105943;81159365;157852532;35000000;Adapted
11/21/2003;21 Grams;274454;16248701;57174060;20000000;Original
12/19/2002;25th Hour;108865;13084595;23928503;4500000;Adapted
04/14/2000;28 Days;10310672;37035515;62063972;43000000;Original
06/27/2003;28 Days Later...;10061858;45064915;82955633;8000000;Original
05/11/2007;28 Weeks Later;9807292;28638916;64238440;15000000;Original
09/16/2011;3;9821;59774;NULL;7200000;Original
03/11/2011;3 Backyards;11332;39475;NULL;300000;Original
11/25/1987;3 Men and a Baby;10384392;167780960;NULL;15000000;Remake
05/06/1994;3 Ninjas Kick Back;3556310;11744960;NULL;20000000;Original
03/01/2000;3 Strikes;3684704;9821335;NULL;4000000;Original
09/07/2007;3:10 to Yuma;14035033;53606916;69791889;48000000;Remake
10/19/2007;30 Days of Night;15951902;39568996;80276156;30000000;Comics
08/12/2011;30 Minutes or Less;13330118;37053924;40883587;28000000;Original
03/09/2007;300;70885301;210614939;456068181;60000000;Comics
02/23/2001;3000 Miles to Graceland;7160521;15738632;18708848;62000000;Original
10/26/2007;4 Months, 3 Weeks and 2 Days;37762;1196321;9796321;900000;Original
03/01/2002;40 Days and 40 Nights;12229529;37939782;95092667;17000000;Original
03/09/1933;42nd Street;NULL;1438000;2281000;439000;Adapted
08/19/2011;5 Days of War;6254;17479;NULL;12000000;Real Events
02/13/2004;50 First Dates;39852237;120776832;196324496;75000000;Original
10/18/2006;51 Birch Street;10827;84689;NULL;350000;Real Events
08/28/1998;54;6611532;16757163;NULL;13000000;Original
01/01/1963;55 Days at Peking;NULL;10000000;NULL;17000000;Original
04/18/1997;8 Heads in a Duffel Bag;2024516;3602884;4002884;3000000;Original
11/08/2002;8 Mile;51240555;116724075;242924075;41000000;Original
